Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean,is_industry,is_valid,has_duplicate
RichardErkhov/Finnish-NLP_-_Ahma-3B-gguf,code generation,183,2024-08-19 2:14:03,2024-08-19 2:14:03,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,,
QuantFactory/Qwen2.5-Coder-7B-GGUF,code generation,183,2024-09-19 5:21:50,2024-09-19 5:21:50,TRUE,"[YaRN](https://arxiv.org/abs/2309.00071),",https://arxiv.org/abs/2309.00071,,,
QuantFactory/Qwen2.5-Coder-7B-Instruct-GGUF,code generation,179,2024-09-19 6:10:06,2024-09-19 6:10:06,TRUE,"[YaRN](https://arxiv.org/abs/2309.00071),",https://arxiv.org/abs/2309.00071,,,
QuantFactory/granite-8b-code-instruct-128k-GGUF,code generation,175,2024-09-07 16:16:53,2024-09-07 16:16:53,TRUE,Context](https://arxiv.org/abs/2407.13739),https://arxiv.org/abs/2407.13739,,,TRUE
TheBloke/tulu-7B-GGUF,code generation,174,2023-09-20 2:43:32,2023-09-20 2:43:32,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,,
Finnish-NLP/Ahma-7B,code generation,166,2024-02-10 20:53:34,2024-02-10 20:53:34,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,TRUE,TRUE
jncraton/codet5p-220m-py-ct2-int8,code generation,164,2023-06-30 18:48:16,2023-06-30 18:48:16,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,,,TRUE
Wanfq/FuseLLM-7B,code generation,157,2024-01-21 12:35:34,2024-01-21 12:35:34,TRUE,"href=""https://arxiv.org/abs/2401.10491"">",https://arxiv.org/abs/2401.10491,,TRUE,
TheBloke/tulu-30B-GGUF,code generation,150,2023-09-20 2:43:18,2023-09-20 2:43:18,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,,
sokada/codegen25-7b-multi-gguf-with-dummy-tokenizer,codegen,150,2023-11-29 13:12:01,2023-11-29 13:12:01,TRUE,"[CodeGen2](https://arxiv.org/abs/2305.02309),",https://arxiv.org/abs/2305.02309,,,
RichardErkhov/tokyotech-llm_-_Llama-3-Swallow-70B-v0.1-gguf,code generation,144,2024-09-05 12:43:01,2024-09-05 12:43:01,TRUE,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733,,,TRUE
RichardErkhov/SparseLLM_-_prosparse-llama-2-7b-gguf,code generation,144,2024-09-08 3:04:40,2024-09-08 3:04:40,TRUE,[link](https://arxiv.org/pdf/2402.13516.pdf),https://arxiv.org/pdf/2402.13516,,,
unsloth/Hermes-3-Llama-3.1-405B-bnb-4bit,code generation,140,2024-09-03 6:05:16,2024-09-03 6:05:16,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
RichardErkhov/ibm-granite_-_granite-20b-code-base-r1.1-gguf,code generation,140,2024-09-17 5:20:46,2024-09-17 5:20:46,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
allenai/open-instruct-pythia-6.9b-tulu,code generation,139,2023-06-13 15:43:21,2023-06-13 15:43:21,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,TRUE,TRUE
jncraton/codet5p-770m-py-ct2-int8,code generation,132,2023-07-08 20:47:01,2023-07-08 20:47:01,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,,,TRUE
Finnish-NLP/Ahma-3B,code generation,131,2024-02-03 19:27:52,2024-02-03 19:27:52,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,TRUE,TRUE
